benchmark,rob,iq,width,inst_count,cycles,ipc
val_trace_gcc1,32,8,1,10000,10079,0.99
val_trace_gcc1,32,8,2,10000,5419,1.85
val_trace_gcc1,32,8,4,10000,4626,2.16
val_trace_gcc1,32,8,8,10000,7526,1.33
val_trace_gcc1,32,16,1,10000,10032,1.0
val_trace_gcc1,32,16,2,10000,5332,1.88
val_trace_gcc1,32,16,4,10000,4197,2.38
val_trace_gcc1,32,16,8,10000,4294,2.33
val_trace_gcc1,32,32,1,10000,10032,1.0
val_trace_gcc1,32,32,2,10000,5332,1.88
val_trace_gcc1,32,32,4,10000,4197,2.38
val_trace_gcc1,32,32,8,10000,4285,2.33
val_trace_gcc1,32,64,1,10000,10032,1.0
val_trace_gcc1,32,64,2,10000,5332,1.88
val_trace_gcc1,32,64,4,10000,4197,2.38
val_trace_gcc1,32,64,8,10000,4285,2.33
val_trace_gcc1,32,128,1,10000,10032,1.0
val_trace_gcc1,32,128,2,10000,5332,1.88
val_trace_gcc1,32,128,4,10000,4197,2.38
val_trace_gcc1,32,128,8,10000,4285,2.33
val_trace_gcc1,32,256,1,10000,10032,1.0
val_trace_gcc1,32,256,2,10000,5332,1.88
val_trace_gcc1,32,256,4,10000,4197,2.38
val_trace_gcc1,32,256,8,10000,4285,2.33
val_trace_gcc1,64,8,1,10000,10079,0.99
val_trace_gcc1,64,8,2,10000,5394,1.85
val_trace_gcc1,64,8,4,10000,4391,2.28
val_trace_gcc1,64,8,8,10000,7525,1.33
val_trace_gcc1,64,16,1,10000,10032,1.0
val_trace_gcc1,64,16,2,10000,5054,1.98
val_trace_gcc1,64,16,4,10000,2974,3.36
val_trace_gcc1,64,16,8,10000,2784,3.59
val_trace_gcc1,64,32,1,10000,10032,1.0
val_trace_gcc1,64,32,2,10000,5033,1.99
val_trace_gcc1,64,32,4,10000,2915,3.43
val_trace_gcc1,64,32,8,10000,2530,3.95
val_trace_gcc1,64,64,1,10000,10032,1.0
val_trace_gcc1,64,64,2,10000,5033,1.99
val_trace_gcc1,64,64,4,10000,2915,3.43
val_trace_gcc1,64,64,8,10000,2526,3.96
val_trace_gcc1,64,128,1,10000,10032,1.0
val_trace_gcc1,64,128,2,10000,5033,1.99
val_trace_gcc1,64,128,4,10000,2915,3.43
val_trace_gcc1,64,128,8,10000,2526,3.96
val_trace_gcc1,64,256,1,10000,10032,1.0
val_trace_gcc1,64,256,2,10000,5033,1.99
val_trace_gcc1,64,256,4,10000,2915,3.43
val_trace_gcc1,64,256,8,10000,2526,3.96
val_trace_gcc1,128,8,1,10000,10079,0.99
val_trace_gcc1,128,8,2,10000,5394,1.85
val_trace_gcc1,128,8,4,10000,4391,2.28
val_trace_gcc1,128,8,8,10000,7525,1.33
val_trace_gcc1,128,16,1,10000,10032,1.0
val_trace_gcc1,128,16,2,10000,5054,1.98
val_trace_gcc1,128,16,4,10000,2914,3.43
val_trace_gcc1,128,16,8,10000,2647,3.78
val_trace_gcc1,128,32,1,10000,10032,1.0
val_trace_gcc1,128,32,2,10000,5033,1.99
val_trace_gcc1,128,32,4,10000,2584,3.87
val_trace_gcc1,128,32,8,10000,1699,5.89
val_trace_gcc1,128,64,1,10000,10032,1.0
val_trace_gcc1,128,64,2,10000,5033,1.99
val_trace_gcc1,128,64,4,10000,2554,3.92
val_trace_gcc1,128,64,8,10000,1617,6.18
val_trace_gcc1,128,128,1,10000,10032,1.0
val_trace_gcc1,128,128,2,10000,5033,1.99
val_trace_gcc1,128,128,4,10000,2554,3.92
val_trace_gcc1,128,128,8,10000,1617,6.18
val_trace_gcc1,128,256,1,10000,10032,1.0
val_trace_gcc1,128,256,2,10000,5033,1.99
val_trace_gcc1,128,256,4,10000,2554,3.92
val_trace_gcc1,128,256,8,10000,1617,6.18
val_trace_gcc1,256,8,1,10000,10079,0.99
val_trace_gcc1,256,8,2,10000,5394,1.85
val_trace_gcc1,256,8,4,10000,4391,2.28
val_trace_gcc1,256,8,8,10000,7525,1.33
val_trace_gcc1,256,16,1,10000,10032,1.0
val_trace_gcc1,256,16,2,10000,5054,1.98
val_trace_gcc1,256,16,4,10000,2914,3.43
val_trace_gcc1,256,16,8,10000,2647,3.78
val_trace_gcc1,256,32,1,10000,10032,1.0
val_trace_gcc1,256,32,2,10000,5033,1.99
val_trace_gcc1,256,32,4,10000,2584,3.87
val_trace_gcc1,256,32,8,10000,1621,6.17
